"","X1","X2","X3","X4","X5"
"1","Date","Team","Acquired","Relinquished","Notes"
"2","2000-01-03","Celtics","","• Dana Barros","flu (DNP)"
"3","2000-01-03","Warriors","","• Chris Mills","bone spurs in right ankle (DNP)"
"4","2000-01-04","Celtics","","• Dana Barros","flu (DNP)"
"5","2000-01-04","Grizzlies","","• Cherokee Parks","pulled right groin (DNP)"
"6","2000-01-04","Grizzlies","","• Dennis Scott","strained left calf (DNP)"
"7","2000-01-04","Mavericks","","• Steve Nash","sprained right ankle (DNP)"
"8","2000-01-04","Nets","","• Kendall Gill","sore neck (DNP)"
"9","2000-01-04","Raptors","","• Dee Brown (a)","knee injury (DNP)"
"10","2000-01-04","Rockets","","• Kelvin Cato","sprained right wrist (DNP)"
"11","2000-01-05","Bulls","","• Randy Brown","sore left knee (DNP)"
"12","2000-01-05","Grizzlies","","• Dennis Scott","strained left calf (DNP)"
"13","2000-01-05","Hornets","","• Eddie Jones","torn ligament in left elbow (DNP)"
"14","2000-01-05","Warriors","","• Chris Mills","bone spurs in right ankle (DNP)"
"15","2000-01-06","Blazers","","• Arvydas Sabonis","upper respiratory infection (DNP)"
"16","2000-01-06","Bucks","","• Sam Cassell","right ankle tendinitis (DNP)"
"17","2000-01-06","Cavaliers","","• Trajan Langdon","right knee injury (DNP)"
"18","2000-01-06","Heat","","• Voshon Lenard","strained left groin (DNP)"
"19","2000-01-06","Mavericks","","• Gary Trent","strained left groin (DNP)"
"20","2000-01-06","Mavericks","","• Steve Nash","sprained right ankle (DNP)"
"21","2000-01-06","Raptors","","• Aleksandar Radojevic","surgery on back to repair bulding disc (out for season)"
"22","2000-01-06","Raptors","","• Dee Brown (a)","flu (DNP)"
"23","2000-01-06","Rockets","","• Kelvin Cato","sprained right wrist (DNP)"
"24","2000-01-06","Warriors","","• Chris Mills","bone spurs in right ankle (DNP)"
"25","2000-01-06","Warriors","","• John Starks","right knee tendinitis (DNP)"
"26","2000-01-07","Hornets","","• Eddie Jones","torn ligament in left elbow (DNP)"
"27","Date","Team","Acquired","Relinquished","Notes"
"28","2000-01-07","Raptors","","• Dee Brown (a)","sore left knee (DNP)"
"29","2000-01-07","Wizards","","• Isaac Austin / Ike Austin","strep throat (DNP)"
"30","2000-01-08","Blazers","","• Arvydas Sabonis","upper respiratory infection / flu (DNP)"
"31","2000-01-08","Bulls","","• Randy Brown","sore left knee (DNP)"
"32","2000-01-08","Hawks","","• Chris Crawford (Lee)","bruised left elbow & tailbone (out 2-3 weeks)"
"33","2000-01-08","Heat","","• Voshon Lenard","strained left groin (DNP)"
"34","2000-01-08","Hornets","","• Eddie Jones","torn ligament in left elbow (DNP)"
"35","2000-01-08","Mavericks","","• Gary Trent","strained left groin (DNP)"
"36","2000-01-08","Mavericks","","• Steve Nash","sprained right ankle (DNP)"
"37","2000-01-08","Nets","","• Jamie Feick","stomach virus (DNP)"
"38","2000-01-08","Pistons","","• Jud Buechler","flu (DNP)"
"39","2000-01-08","Rockets","","• Kelvin Cato","sprained right wrist (DNP)"
"40","2000-01-08","Suns","","• Oliver Miller","right triceps injury (DNP)"
"41","2000-01-08","Wizards","","• Isaac Austin / Ike Austin","strep throat (DNP)"
